,Argonne_ID,DepMap_ID,RRID,cell_line_name,stripped_cell_line_name,CCLE_Name,Manual_edit
0,CCLE.SLR21,ACH-000016,CVCL_V607,SLR 21,SLR21,SLR21_KIDNEY,
1,CCLE.MHHCALL3,ACH-000032,CVCL_0089,MHH-CALL-3,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
2,CTRP.MHH-CALL-3,ACH-000032,CVCL_0089,MHH-CALL-3,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
3,CCLE.NCIH1819,ACH-000033,CVCL_1497,NCI-H1819,NCIH1819,NCIH1819_LUNG,
4,CCLE.HS895T,ACH-000043,CVCL_0993,Hs 895.T,HS895T,HS895T_FIBROBLAST,
5,CTRP.Hs-895-T,ACH-000043,CVCL_0993,Hs 895.T,HS895T,HS895T_FIBROBLAST,
6,CCLE.HEKTE,ACH-000049,CVCL_WS59,HEK TE,HEKTE,HEKTE_KIDNEY,
7,CCLE.TE617T,ACH-000051,CVCL_1755,TE 617.T,TE617T,TE617T_SOFT_TISSUE,
8,CTRP.TE-617-T,ACH-000051,CVCL_1755,TE 617.T,TE617T,TE617T_SOFT_TISSUE,
9,CCLE.SALE,ACH-000064,CVCL_WS60,SALE,SALE,SALE_LUNG,
10,CCLE.REC1,ACH-000068,CVCL_1884,REC-1,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
11,CTRP.REC-1,ACH-000068,CVCL_1884,REC-1,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
12,CCLE.HS706T,ACH-000071,CVCL_0863,,HS706T,HS706T_BONE,
13,CCLE.NCO2,ACH-000076,CVCL_3043,NCO2,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
14,CTRP.NCO2,ACH-000076,CVCL_3043,NCO2,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
15,CCLE.MJ,ACH-000077,CVCL_1414,MJ,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
