"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol1","DKK1",22943,"DKK1","ENSG00000107984"
"gene_symbol2","METTL7A",25840,"METTL7A","ENSG00000185432"
"gene_symbol3","BX537318.2",730668,"LOC730668","ENSG00000280424"
"gene_symbol4","OXGR1",27199,"OXGR1","ENSG00000165621"
"gene_symbol5","MIR4511",100616379,"MIR4511","ENSG00000264737"
"gene_symbol6","GPLD1",2822,"GPLD1","ENSG00000112293"
"gene_symbol7","SLC19A2",10560,"SLC19A2","ENSG00000117479"
"gene_symbol8","PRH2",5555,"PRH2","ENSG00000134551"
"gene_symbol9","LINC02126",101927650,"LINC02126","ENSG00000259847"
"gene_symbol10","FECH",2235,"FECH","ENSG00000066926"
"gene_symbol11","LINC02236",109729133,"LINC02236","ENSG00000251365"
"gene_symbol12","SOWAHD",347454,"SOWAHD","ENSG00000187808"
"gene_symbol13","LINC02789",400800,"LINC02789","ENSG00000231718"
"gene_symbol14","CAMKV",79012,"CAMKV","ENSG00000164076"
"gene_symbol15","MYH9",4627,"MYH9","ENSG00000100345"
"gene_symbol16","UXT-AS1",100133957,"UXT-AS1","ENSG00000267064"
"gene_symbol17","CNNM3",26505,"CNNM3","ENSG00000168763"
"gene_symbol18","LINC01429",101927678,"LINC01429","ENSG00000227964"
"gene_symbol19","DDX20",11218,"DDX20","ENSG00000064703"
"gene_symbol20","ZP3",7784,"ZP3","ENSG00000188372"
"gene_symbol21","POLG2",11232,"POLG2","ENSG00000256525"
"gene_symbol22","HSPB1",3315,"HSPB1","ENSG00000106211"
"gene_symbol23","ACSL5",51703,"ACSL5","ENSG00000197142"
"gene_symbol24","MIR2467",100616360,"MIR2467","ENSG00000264292"
"gene_symbol25","MIR5007",100846996,"MIR5007","ENSG00000264387"
"gene_symbol26","C8orf33",65265,"C8orf33","ENSG00000182307"
"gene_symbol27","TBC1D5",9779,"TBC1D5","ENSG00000131374"
"gene_symbol28","MKKS",8195,"MKKS","ENSG00000125863"
"gene_symbol29","SNORA64",26784,"SNORA64","ENSG00000207405"
"gene_symbol30","EFHC1",114327,"EFHC1","ENSG00000096093"
"gene_symbol31","KMT5C",84787,"KMT5C","ENSG00000133247"
"gene_symbol32","GOLGA6L1",283767,"GOLGA6L1","ENSG00000273976"
"gene_symbol33","ART3",419,"ART3","ENSG00000156219"
"gene_symbol34","KRT83",3889,"KRT83","ENSG00000170523"
"gene_symbol35","AL132712.2",105370689,"LOC105370689","ENSG00000287346"
"gene_symbol36","CXCL10",3627,"CXCL10","ENSG00000169245"
