"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol1","OR8X1P","ENSG00000255048","403305","OR8X1P"
"gene_symbol2","AC016933.1","ENSG00000251471","",""
"gene_symbol3","PTPN1","ENSG00000196396","5770","PTPN1"
"gene_symbol4","NLRP3","ENSG00000162711","114548","NLRP3"
"gene_symbol5","SP3P","ENSG00000225530","",""
"gene_symbol6","KRT18P60","ENSG00000215208","100418829","KRT18P60"
"gene_symbol7","OR7E13P","ENSG00000197882","",""
"gene_symbol8","AC106745.1","ENSG00000261363","",""
"gene_symbol9","AC136624.1","ENSG00000262332","",""
"gene_symbol10","ARFRP1","ENSG00000101246","10139","ARFRP1"
"gene_symbol11","AL157938.4","ENSG00000286547","",""
"gene_symbol12","AC015660.5","ENSG00000286893","",""
"gene_symbol13","AL355334.2","ENSG00000286445","",""
"gene_symbol14","AC023090.2","ENSG00000279077","",""
"gene_symbol15","AC010533.1","ENSG00000278893","",""
"gene_symbol16","AL158825.3","ENSG00000278040","",""
"gene_symbol17","C2CD4A","ENSG00000198535","145741","C2CD4A"
"gene_symbol18","FDX1P1","ENSG00000181741","",""
"gene_symbol19","AC009268.2","ENSG00000278472","",""
"gene_symbol20","AL132709.8","ENSG00000288302","",""
"gene_symbol21","AC018695.1","ENSG00000214259","401863","RPL10AP12"
"gene_symbol22","AOC2","ENSG00000131480","314","AOC2"
"gene_symbol23","RN7SL571P","ENSG00000243274","106479431","RN7SL571P"
"gene_symbol24","AL080274.1","ENSG00000271298","",""
"gene_symbol25","PTGS2","ENSG00000073756","5743","PTGS2"
"gene_symbol26","AC109460.4","ENSG00000261552","",""
"gene_symbol27","AC024382.1","ENSG00000253573","",""
"gene_symbol28","AC135068.9","ENSG00000281179","",""
"gene_symbol29","ANKRD2","ENSG00000165887","26287","ANKRD2"
"gene_symbol30","AC124798.2","ENSG00000285545","",""
"gene_symbol31","AL451137.1","ENSG00000252580","",""
"gene_symbol32","AL080317.1","ENSG00000271789","",""
"gene_symbol33","UBXN1","ENSG00000162191","51035","UBXN1"
"gene_symbol34","UBE2L5","ENSG00000236444","171222","UBE2L5"
"gene_symbol35","RPL5P20","ENSG00000218643","100131913","RPL5P20"
"gene_symbol36","CYTH1P1","ENSG00000271286","100418871","CYTH1P1"
"gene_symbol37","","ENSG00000288714","",""
"gene_symbol38","PGLYRP3","ENSG00000159527","114771","PGLYRP3"
"gene_symbol39","ZNF254","ENSG00000213096","9534","ZNF254"
"gene_symbol40","ZNF180","ENSG00000167384","7733","ZNF180"
"gene_symbol41","AL592309.2","ENSG00000236009","",""
"gene_symbol42","LIN37","ENSG00000267796","55957","LIN37"
"gene_symbol43","OR8L1P","ENSG00000254903","81164","OR8L1P"
"gene_symbol44","AC008121.1","ENSG00000271596","",""
"gene_symbol45","FAM218A","ENSG00000250486","152756","FAM218A"
"gene_symbol46","IGLJ3","ENSG00000211678","",""
"gene_symbol47","TRAV36DV7","ENSG00000211815","28646","TRAV36DV7"
"gene_symbol48","GLYAT","ENSG00000149124","10249","GLYAT"
"gene_symbol49","GPHN","ENSG00000171723","10243","GPHN"
"gene_symbol50","AC097381.1","ENSG00000228919","389199","LOC389199"
"gene_symbol51","POTEF","ENSG00000196604","728378","POTEF"
"gene_symbol52","AC069544.1","ENSG00000272853","",""
"gene_symbol53","KCTD14","ENSG00000151364","65987","KCTD14"
"gene_symbol54","AC092647.1","ENSG00000225018","",""
"gene_symbol55","AC092127.1","ENSG00000260417","",""
"gene_symbol56","ATIC","ENSG00000138363","471","ATIC"
"gene_symbol57","AC105074.1","ENSG00000279319","",""
