,gene_symbol,ensembl_id
0,OR8X1P,ENSG00000255048
1,AC016933.1,ENSG00000251471
2,PTPN1,ENSG00000196396
3,NLRP3,ENSG00000162711
4,SP3P,ENSG00000225530
5,KRT18P60,ENSG00000215208
6,OR7E13P,ENSG00000197882
7,AC106745.1,ENSG00000261363
8,AC136624.1,ENSG00000262332
9,ARFRP1,ENSG00000101246
10,AL157938.4,ENSG00000286547
11,AC015660.5,ENSG00000286893
12,AL355334.2,ENSG00000286445
13,AC023090.2,ENSG00000279077
14,AC010533.1,ENSG00000278893
15,AL158825.3,ENSG00000278040
16,C2CD4A,ENSG00000198535
17,FDX1P1,ENSG00000181741
18,AC009268.2,ENSG00000278472
19,AL132709.8,ENSG00000288302
20,AC018695.1,ENSG00000214259
21,AOC2,ENSG00000131480
22,RN7SL571P,ENSG00000243274
23,AL080274.1,ENSG00000271298
24,PTGS2,ENSG00000073756
25,AC109460.4,ENSG00000261552
26,AC024382.1,ENSG00000253573
27,AC135068.9,ENSG00000281179
28,ANKRD2,ENSG00000165887
29,AC124798.2,ENSG00000285545
30,AL451137.1,ENSG00000252580
31,AL080317.1,ENSG00000271789
32,UBXN1,ENSG00000162191
33,UBE2L5,ENSG00000236444
34,RPL5P20,ENSG00000218643
35,CYTH1P1,ENSG00000271286
36,,ENSG00000288714
37,PGLYRP3,ENSG00000159527
38,ZNF254,ENSG00000213096
39,ZNF180,ENSG00000167384
40,AL592309.2,ENSG00000236009
41,LIN37,ENSG00000267796
42,OR8L1P,ENSG00000254903
43,AC008121.1,ENSG00000271596
44,FAM218A,ENSG00000250486
45,IGLJ3,ENSG00000211678
46,TRAV36DV7,ENSG00000211815
47,GLYAT,ENSG00000149124
48,GPHN,ENSG00000171723
49,AC097381.1,ENSG00000228919
50,POTEF,ENSG00000196604
51,AC069544.1,ENSG00000272853
52,KCTD14,ENSG00000151364
53,AC092647.1,ENSG00000225018
54,AC092127.1,ENSG00000260417
55,ATIC,ENSG00000138363
56,AC105074.1,ENSG00000279319
57,SPPL2B,ENSG00000005206
58,TCHP,ENSG00000139437
59,BX547991.1,ENSG00000265630
60,CPNE8,ENSG00000139117
61,HMGB1P40,ENSG00000255291
62,AC005821.2,ENSG00000287457
63,ASB18,ENSG00000182177
64,AC233280.2,ENSG00000271662
65,NPM1P14,ENSG00000182965
66,AC080129.2,ENSG00000232874
67,PPP1R37,ENSG00000104866
68,TP53TG3,ENSG00000183632
69,AC008280.1,ENSG00000241114
70,TMEM130,ENSG00000166448
71,PLEKHO2,ENSG00000241839
72,H2BC21,ENSG00000184678
73,AC073941.2,ENSG00000259509
74,AL355303.2,ENSG00000287848
75,DLG2,ENSG00000150672
76,MTND4LP21,ENSG00000231582
77,AL024498.1,ENSG00000272097
78,GBP1P1,ENSG00000225492
79,AL132838.1,ENSG00000240096
80,TCEAL1,ENSG00000172465
81,SNORA49,ENSG00000208892
82,AC027097.2,ENSG00000267787
83,ZFP1,ENSG00000184517
84,AC018630.4,ENSG00000275778
85,AL590727.1,ENSG00000236920
86,RD3,ENSG00000198570
87,AC004678.1,ENSG00000275468
88,,ENSG00000183470
89,CAPN14,ENSG00000214711
90,SHC1,ENSG00000160691
91,NANOGP3,ENSG00000271373
92,AL137161.1,ENSG00000254537
93,AGAP2-AS1,ENSG00000255737
94,AC139491.6,ENSG00000283559
95,LRRC37A5P,ENSG00000204173
96,MTND5P33,ENSG00000261904
97,SNORA70F,ENSG00000206869
98,AC023283.1,ENSG00000287655
99,KDM4F,ENSG00000255855
100,AC093525.3,ENSG00000260436
101,HIGD1A,ENSG00000181061
102,EED,ENSG00000074266
103,AP003354.1,ENSG00000253263
104,LINC01514,ENSG00000237579
105,AC008267.7,ENSG00000279785
106,TGM6,ENSG00000166948
107,AC011092.2,ENSG00000255476
108,MTCO3P38,ENSG00000242456
109,PSMA1,ENSG00000129084
110,AC016559.3,ENSG00000250330
111,WDR37,ENSG00000047056
112,CES5AP1,ENSG00000215478
113,CES4A,ENSG00000172824
114,LHFPL3-AS1,ENSG00000226869
115,AC016252.1,ENSG00000272609
116,MTHFD2L,ENSG00000163738
117,Z80897.1,ENSG00000286485
118,AP000648.2,ENSG00000254436
119,FBXO5,ENSG00000112029
120,LINC02419,ENSG00000256906
121,AC006435.3,ENSG00000274758
122,FO393415.1,ENSG00000219758
123,Z68694.1,ENSG00000224692
124,IGLV8-61,ENSG00000211638
125,AC114811.2,ENSG00000260641
126,TLX1,ENSG00000107807
127,LEXM,ENSG00000162398
128,AC083923.1,ENSG00000253543
129,EIF4HP1,ENSG00000233830
130,AC087518.1,ENSG00000253381
131,AC124283.5,ENSG00000279613
132,GJD4,ENSG00000177291
133,KIAA1671-AS1,ENSG00000203280
134,GLIS2,ENSG00000126603
135,ITGAM,ENSG00000169896
136,AC104687.1,ENSG00000242727
137,FOXF1,ENSG00000103241
138,PSMD4,ENSG00000159352
139,AC017007.3,ENSG00000241002
140,PDE3B,ENSG00000152270
141,LINC02337,ENSG00000215881
142,ZBTB20,ENSG00000181722
143,ENTR1,ENSG00000165689
144,AL732437.2,ENSG00000287235
145,AC100821.1,ENSG00000253667
146,MARF1,ENSG00000166783
147,CDIP1,ENSG00000089486
148,OR51B3P,ENSG00000223735
149,CEP72,ENSG00000112877
150,GNAI2P2,ENSG00000231957
151,LINC02086,ENSG00000244649
152,AC027176.1,ENSG00000259273
153,AC007161.3,ENSG00000283549
154,AC098862.1,ENSG00000250611
155,TXNDC8,ENSG00000204193
156,BRWD1-IT1,ENSG00000237373
157,ACSL3,ENSG00000123983
158,AL031681.2,ENSG00000288000
159,CSPG5,ENSG00000114646
160,,ENSG00000252657
161,AL137002.1,ENSG00000269125
162,AC097478.1,ENSG00000274238
163,PPFIA1,ENSG00000131626
164,LINC01151,ENSG00000253819
165,NEDD9,ENSG00000111859
166,RNU2-7P,ENSG00000222726
167,RNU2-29P,ENSG00000222355
168,C19orf18,ENSG00000177025
169,AC007496.1,ENSG00000260194
170,AC245884.8,ENSG00000267838
171,TMEM151B,ENSG00000178233
172,TPI1P2,ENSG00000230359
173,OR10H2,ENSG00000171942
174,DCTN6,ENSG00000104671
175,AC114801.1,ENSG00000248128
176,DPYSL3,ENSG00000113657
177,AC018742.1,ENSG00000233005
178,CCDC13,ENSG00000244607
179,BNC2-AS1,ENSG00000234779
180,OR5AC4P,ENSG00000251090
181,THBS4-AS1,ENSG00000249825
182,AC026688.2,ENSG00000254293
183,AC010409.1,ENSG00000213663
184,SNHG26,ENSG00000228649
185,AC010976.1,ENSG00000231731
186,AC015914.1,ENSG00000259351
187,CPA6,ENSG00000165078
188,PI3,ENSG00000124102
189,AL158047.1,ENSG00000235377
190,AC125613.2,ENSG00000276074
191,ELOCP26,ENSG00000236599
192,FAM189B,ENSG00000160767
193,AC135279.3,ENSG00000277895
194,SDAD1P2,ENSG00000230750
195,AL078601.2,ENSG00000262048
196,AC007368.1,ENSG00000255595
197,PTCHD3P1,ENSG00000274985
198,CRIP3,ENSG00000146215
199,ECHDC3,ENSG00000134463
200,H3P32,ENSG00000233814
201,AC091849.1,ENSG00000248126
202,REV3L-IT1,ENSG00000229276
203,LINC01677,ENSG00000233047
204,CASP8AP2,ENSG00000118412
205,CLUH,ENSG00000132361
206,AC010445.1,ENSG00000249404
207,AC087588.1,ENSG00000274976
208,TMED3,ENSG00000166557
209,RBM8B,ENSG00000258427
210,CYB561D2,ENSG00000114395
211,NDUFS6,ENSG00000145494
212,AC011840.2,ENSG00000259928
213,HAND2-AS1,ENSG00000237125
214,CCDC105,ENSG00000160994
215,SNRPCP20,ENSG00000267182
216,RPS20P14,ENSG00000223803
217,RPL5P2,ENSG00000237068
218,TAS2R30,ENSG00000256188
219,AC131280.1,ENSG00000279628
220,,ENSG00000273913
221,CCNT2,ENSG00000082258
222,ENGASE,ENSG00000167280
223,AC003688.2,ENSG00000263342
224,AREG,ENSG00000109321
225,AC114490.1,ENSG00000241014
226,,ENSG00000237413
227,ATP13A4,ENSG00000127249
228,GPR84,ENSG00000139572
229,IGHV3-64D,ENSG00000282639
230,IL21R,ENSG00000103522
231,BTF3P6,ENSG00000233956
232,GOLGA8O,ENSG00000206127
233,AC073346.2,ENSG00000279288
234,TOP3BP1,ENSG00000228050
235,AGGF1P6,ENSG00000259836
236,FOXCUT,ENSG00000280916
237,AC087683.2,ENSG00000276174
238,AL590787.1,ENSG00000260509
239,MTND3P15,ENSG00000283940
240,VPS11,ENSG00000160695
241,AC011317.1,ENSG00000287688
242,OR7E55P,ENSG00000230655
243,MICOS10-NBL1,ENSG00000270136
244,ATP5F1EP2,ENSG00000180389
245,GTF2IP9,ENSG00000251451
246,AHDC1,ENSG00000126705
247,GPN1,ENSG00000198522
248,ABCA2,ENSG00000107331
249,HLA-T,ENSG00000231130
250,RERG,ENSG00000134533
251,FRS3,ENSG00000137218
252,CDY3P,ENSG00000232235
253,TMEM229B,ENSG00000198133
254,AL136967.1,ENSG00000279284
255,AL391069.1,ENSG00000224645
256,TCF7L2,ENSG00000148737
257,CCT5P2,ENSG00000230584
258,RN7SKP264,ENSG00000223012
259,TSN,ENSG00000211460
260,PCYT2,ENSG00000185813
261,AC123777.1,ENSG00000254813
262,ZNF367,ENSG00000165244
263,AC022367.1,ENSG00000257009
264,MAL2,ENSG00000147676
265,AP002026.1,ENSG00000246090
266,ADAM33,ENSG00000149451
267,FAM3C,ENSG00000196937
268,COPS8P2,ENSG00000214552
269,AF222684.1,ENSG00000288536
270,UBTFL7,ENSG00000229361
271,SP9,ENSG00000217236
272,AC090525.1,ENSG00000241251
273,FAM180B,ENSG00000196666
274,FDXACB1,ENSG00000255561
275,AC023509.2,ENSG00000257550
276,SF3B3,ENSG00000189091
277,THAP12P1,ENSG00000230665
278,PRAMEF1,ENSG00000116721
279,AP000892.4,ENSG00000280143
280,AC106870.1,ENSG00000197644
281,GPC1,ENSG00000063660
282,TIMMDC1,ENSG00000113845
283,MT1M,ENSG00000205364
284,HSPE1P2,ENSG00000258645
285,RNASE13,ENSG00000206150
286,AC104472.2,ENSG00000241307
287,C3orf36,ENSG00000288547
288,AC006252.1,ENSG00000243224
289,MYLK-AS2,ENSG00000250174
290,AP003385.4,ENSG00000255147
291,OR7E35P,ENSG00000250425
292,AC136944.4,ENSG00000261466
293,COX5AP1,ENSG00000271180
294,SPRYD4,ENSG00000176422
295,AC093903.1,ENSG00000249091
296,HOPX,ENSG00000171476
297,LINC00939,ENSG00000249267
298,RNF216,ENSG00000011275
299,AC008870.5,ENSG00000278912
300,STX10,ENSG00000104915
301,AC025164.1,ENSG00000245904
302,SOCS2P2,ENSG00000224465
303,GPC5-AS2,ENSG00000232885
304,RGS3,ENSG00000138835
305,ATP5F1B,ENSG00000110955
306,AP002518.2,ENSG00000256947
307,AC093677.2,ENSG00000269559
308,AC104237.2,ENSG00000275612
309,LINC02051,ENSG00000226859
310,CHD2,ENSG00000173575
311,AC009522.1,ENSG00000258216
312,AL596442.3,ENSG00000287407
313,ZNF876P,ENSG00000198155
314,SURF6P1,ENSG00000228518
315,SNX2P2,ENSG00000236460
316,APELA,ENSG00000248329
317,NDST3,ENSG00000164100
318,RN7SKP99,ENSG00000252837
319,GLYCAM1,ENSG00000257780
320,PIM1,ENSG00000137193
321,AC009065.3,ENSG00000260447
322,TBC1D3K,ENSG00000273513
323,SIGLEC10,ENSG00000142512
324,KASH5,ENSG00000161609
325,PAQR9-AS1,ENSG00000241570
326,LINC01614,ENSG00000230838
327,MFSD6,ENSG00000151690
328,CYP2S1,ENSG00000167600
329,AC011365.1,ENSG00000254192
330,AC090720.1,ENSG00000254579
331,,ENSG00000262075
332,AC004464.1,ENSG00000287027
333,OR56A7P,ENSG00000255481
334,FUNDC1,ENSG00000069509
335,SLC9A3-AS1,ENSG00000225138
336,SPATA18,ENSG00000163071
337,DYNC1LI1,ENSG00000144635
338,HERC2P2,ENSG00000276550
339,LINC01803,ENSG00000228909
340,AC109583.3,ENSG00000273682
341,ZNF410,ENSG00000119725
342,DARS-AS1,ENSG00000231890
343,THAP4,ENSG00000176946
344,GPR32,ENSG00000142511
345,NUAK2,ENSG00000163545
346,PMS2P12,ENSG00000228546
347,XKRY,ENSG00000250868
348,LCMT2,ENSG00000168806
349,AC073862.3,ENSG00000279940
350,KPNA2P3,ENSG00000266820
351,RPSAP44,ENSG00000220773
352,KCNAB2,ENSG00000069424
353,PKP4,ENSG00000144283
354,PGPEP1L,ENSG00000183571
355,AC073172.1,ENSG00000254789
356,RN7SKP167,ENSG00000222979
357,ACTL6B,ENSG00000077080
358,AC090857.2,ENSG00000255167
359,ABLIM3,ENSG00000173210
360,EGFLAM,ENSG00000164318
361,MCCD1P1,ENSG00000235963
362,PGBD1,ENSG00000137338
363,HDHD2,ENSG00000167220
364,AC104041.1,ENSG00000259692
365,AC087878.1,ENSG00000259278
366,ST7-AS1,ENSG00000227199
367,AL590302.1,ENSG00000223942
368,AC007351.2,ENSG00000273942
369,OR4A21P,ENSG00000181943
370,PPIAP84,ENSG00000254152
371,AL365215.1,ENSG00000275001
372,VN1R74P,ENSG00000273732
373,MIR124-2HG,ENSG00000254377
374,KLHL8,ENSG00000145332
375,SPAM1,ENSG00000106304
376,AC006539.1,ENSG00000240673
377,MTND3P18,ENSG00000283865
378,AC011751.1,ENSG00000286201
379,AC016866.1,ENSG00000264269
380,TDRKH,ENSG00000182134
381,LINC00654,ENSG00000205181
382,AC244255.1,ENSG00000277852
383,AL731553.1,ENSG00000286981
384,AL117332.1,ENSG00000275457
385,AC116353.5,ENSG00000283155
386,GALNT12,ENSG00000119514
387,WBP11P1,ENSG00000260389
388,LCORL,ENSG00000178177
389,ARHGEF35,ENSG00000213214
390,P4HA2,ENSG00000072682
391,AP003175.1,ENSG00000284722
392,AL139405.1,ENSG00000285671
393,SLC26A8,ENSG00000112053
394,MTARC1,ENSG00000186205
395,NPM1P5,ENSG00000258925
396,AC005746.2,ENSG00000267131
397,AC005695.1,ENSG00000262966
398,CKAP2P1,ENSG00000258722
399,BAZ1A,ENSG00000198604
400,AL354695.1,ENSG00000236960
401,EIF3H,ENSG00000147677
402,NEBL-AS1,ENSG00000231920
403,KRT85,ENSG00000135443
404,PHBP4,ENSG00000230251
405,Z92846.1,ENSG00000238049
406,ENSAP3,ENSG00000177261
407,RNA5SP187,ENSG00000207129
408,AC106779.1,ENSG00000261302
409,AC090150.2,ENSG00000253903
410,RNVU1-34,ENSG00000200997
411,SNTA1,ENSG00000101400
412,AC008667.4,ENSG00000271792
413,RAB40A,ENSG00000172476
414,OR5M3,ENSG00000174937
415,PARP4,ENSG00000102699
416,TCAF1P1,ENSG00000223459
417,WASF4P,ENSG00000188459
418,TMEM88B,ENSG00000205116
419,RN7SL353P,ENSG00000263608
420,SDHCP1,ENSG00000264444
421,FTH1P21,ENSG00000249013
422,FAM222A,ENSG00000139438
423,EMC1,ENSG00000127463
424,AC008453.2,ENSG00000286657
425,MT1B,ENSG00000169688
426,AC083843.1,ENSG00000254028
427,LINC00535,ENSG00000246662
428,TNRC18P1,ENSG00000249661
429,AL121829.2,ENSG00000275812
430,AL354809.1,ENSG00000273507
431,C11orf16,ENSG00000176029
432,YBX1P9,ENSG00000236994
433,AC092431.1,ENSG00000231024
434,NCBP2L,ENSG00000170935
435,C1QL3,ENSG00000165985
436,PRSS55,ENSG00000184647
437,MARCOL,ENSG00000248109
438,C1orf94,ENSG00000142698
439,TNFSF10,ENSG00000121858
440,AC145285.4,ENSG00000261419
441,AKR1B1P7,ENSG00000266899
442,EXOC7,ENSG00000182473
443,ZNF557,ENSG00000130544
444,RPL23AP37,ENSG00000236148
445,AC106872.1,ENSG00000236941
446,AC244093.4,ENSG00000277589
447,MTFR2P2,ENSG00000235647
448,AL355835.1,ENSG00000259072
449,AC104791.1,ENSG00000251687
450,ZNF674,ENSG00000251192
451,H1-12P,ENSG00000216331
452,NKAPP1,ENSG00000233382
453,SLC2A13P1,ENSG00000254954
454,U82671.1,ENSG00000286939
455,AC093817.2,ENSG00000286133
456,AC005544.1,ENSG00000264491
457,MPP3,ENSG00000161647
458,AC006157.1,ENSG00000278847
