,gene_symbol,entrenz_id
0,DKK1,22943
1,METTL7A,25840
2,BX537318.2,730668
3,OXGR1,27199
4,MIR4511,100616379
5,GPLD1,2822
6,SLC19A2,10560
7,PRH2,5555
8,LINC02126,101927650
9,FECH,2235
10,LINC02236,109729133
11,SOWAHD,347454
12,LINC02789,400800
13,CAMKV,79012
14,MYH9,4627
15,UXT-AS1,100133957
16,CNNM3,26505
17,LINC01429,101927678
18,DDX20,11218
19,ZP3,7784
20,POLG2,11232
21,HSPB1,3315
22,ACSL5,51703
23,MIR2467,100616360
24,MIR5007,100846996
25,C8orf33,65265
26,TBC1D5,9779
27,MKKS,8195
28,SNORA64,26784
29,EFHC1,114327
30,KMT5C,84787
31,GOLGA6L1,283767
32,ART3,419
33,KRT83,3889
34,AL132712.2,105370689
35,CXCL10,3627
36,GEMIN6,79833
37,AMPD3,272
38,SNORA69,26779
39,TULP4,56995
40,LRRC23,10233
41,NBEA,26960
42,TPST2,8459
43,RBM44,375316
44,IL21,59067
45,ZNF66,7617
46,MEIS3,56917
47,RTN4RL2,349667
48,PNPLA3,80339
49,MIR6500,102466656
50,TMX1,81542
51,SMCO4,56935
52,GATD3B,102724023
53,MIR6756,102465453
54,ARF6,382
55,SEC31A,22872
56,EIF4EBP1,1978
57,EPAS1,2034
58,PRDX6,9588
59,SNRPD2,6633
60,TMEM168,64418
61,ODF4,146852
62,LINC01616,106456574
63,ENPP5,59084
64,CAPN10,11132
65,HMOX1,3162
66,MIR5705,100847027
67,CKLF-CMTM1,100529251
68,ANKRD30BL,554226
69,VCAM1,7412
70,CEP290,80184
71,C10orf67,256815
72,MAB21L4,79919
73,FKBP8,23770
74,COX14,84987
75,PCDHGB8P,56120
76,ANKRD12,23253
77,CLIC3,9022
78,MIR4535,100616415
79,BRIP1,83990
80,CUL2,8453
81,PLCD3,113026
82,H1-2,3006
83,CFH,3075
84,DHX57,90957
85,PCAT6,100506696
86,TARS2,80222
87,LINC01989,101927239
88,LINC02877,152118
89,FAXC,84553
90,DTL,51514
91,TMEM225B,100289187
92,ARHGAP4,393
93,AKR1C3,8644
94,AL109924.1,101929460
95,SLC25A31,83447
96,CCDC189,90835
97,ZCCHC10,54819
98,MIR7973-1,102466250
99,ITGA1,3672
100,SECISBP2L,9728
101,MED25,81857
102,MIR6513,102465256
103,HHATL-AS1,100874044
104,MYOC,4653
105,TRIM13,10206
106,ZNF70,7621
107,TRIM4,89122
108,SCAP,22937
109,MSANTD4,84437
110,SIGLEC12,89858
111,C2orf92,728537
112,CT47A7,653282
113,SNX8,29886
114,LINC00459,100874180
115,LETM1,3954
116,FBXO39,162517
117,ERV3-1,2086
118,SRC,6714
119,DEFB131A,644414
120,VAT1,10493
121,RASD2,23551
122,HDAC7,51564
123,WNK3,65267
124,PRDM8,56978
125,DNAH7,56171
126,OR4A16,81327
127,VAMP4,8674
128,DNHD1,144132
129,ZFY-AS1,107987337
130,MIR4723,100616388
131,BNIP3,664
132,RBM46,166863
133,PCOTH,542767
134,FOXN1,8456
135,KCNJ6,3763
136,CLEC4A,50856
