"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene1","LOC100288069","100288069","LOC100288069",""
"gene2","LINC01128","643837","LINC01128","ENSG00000228794"
"gene3","LINC01128","643837","LINC01128","ENSG00000228794"
"gene4","LOC100130417","","",""
"gene5","SAMD11","148398","SAMD11","ENSG00000187634"
"gene6","NOC2L","26155","NOC2L","ENSG00000188976"
"gene7","KLHL17","339451","KLHL17","ENSG00000187961"
"gene8","PLEKHN1","84069","PLEKHN1","ENSG00000187583"
"gene9","PERM1","84808","PERM1","ENSG00000187642"
"gene10","HES4","57801","HES4","ENSG00000188290"
"gene11","AGRN","375790","AGRN","ENSG00000188157"
"gene12","RNF223","401934","RNF223","ENSG00000237330"
"gene13","C1orf159","54991","C1orf159","ENSG00000131591"
"gene14","LINC01342","254099","LINC01342","ENSG00000223823"
"gene15","MIR200B","406984","MIR200B","ENSG00000207730"
"gene16","MIR200A","406983","MIR200A","ENSG00000207607"
"gene17","MIR429","554210","MIR429","ENSG00000198976"
"gene18","TTLL10","254173","TTLL10","ENSG00000162571"
"gene19","TTLL10","254173","TTLL10","ENSG00000162571"
"gene20","TNFRSF18","8784","TNFRSF18","ENSG00000186891"
"gene21","B3GALT6","126792","B3GALT6","ENSG00000176022"
"gene22","SDF4","51150","SDF4","ENSG00000078808"
"gene23","FAM132A","388581","C1QTNF12","ENSG00000184163"
"gene24","UBE2J2","118424","UBE2J2","ENSG00000160087"
"gene25","MIR6726","102465434","MIR6726","ENSG00000278073"
"gene26","PUSL1","126789","PUSL1","ENSG00000169972"
"gene27","ACAP3","116983","ACAP3","ENSG00000131584"
"gene28","MIR6727","102465435","MIR6727","ENSG00000283712"
"gene29","CPTP","80772","CPTP","ENSG00000224051"
"gene30","CPSF3L","54973","INTS11","ENSG00000127054"
"gene31","TAS1R3","83756","TAS1R3","ENSG00000169962"
"gene32","DVL1","1855","DVL1","ENSG00000107404"
"gene33","MXRA8","54587","MXRA8","ENSG00000162576"
"gene34","MXRA8","54587","MXRA8","ENSG00000162576"
"gene35","MXRA8","54587","MXRA8","ENSG00000162576"
"gene36","MXRA8","54587","MXRA8","ENSG00000162576"
"gene37","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene38","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene39","AURKAIP1","54998","AURKAIP1","ENSG00000175756"
"gene40","LOC148413","","",""
"gene41","CCNL2","81669","CCNL2","ENSG00000221978"
"gene42","MRPL20","55052","MRPL20","ENSG00000242485"
"gene43","TMEM88B","643965","TMEM88B","ENSG00000205116"
"gene44","VWA1","64856","VWA1","ENSG00000179403"
"gene45","LOC102724312","","",""
"gene46","ATAD3C","219293","ATAD3C","ENSG00000215915"
"gene47","ATAD3B","83858","ATAD3B","ENSG00000160072"
"gene48","ATAD3B","83858","ATAD3B","ENSG00000160072"
"gene49","ATAD3A","55210","ATAD3A","ENSG00000197785"
"gene50","ATAD3A","55210","ATAD3A","ENSG00000197785"
"gene51","TMEM240","339453","TMEM240","ENSG00000205090"
"gene52","SSU72","29101","SSU72","ENSG00000160075"
"gene53","FNDC10","643988","FNDC10","ENSG00000228594"
"gene54","MIB2","142678","MIB2","ENSG00000197530"
"gene55","MIB2","142678","MIB2","ENSG00000197530"
"gene56","MMP23B","8510","MMP23B","ENSG00000189409"
"gene57","MMP23A","8511","MMP23A","ENSG00000215914"
"gene58","SLC35E2B","728661","SLC35E2B","ENSG00000189339"
"gene59","CDK11B","984","CDK11B","ENSG00000248333"
"gene60","CDK11A","728642","CDK11A","ENSG00000008128"
"gene61","SLC35E2","9906","SLC35E2A","ENSG00000215790"
"gene62","NADK","65220","NADK","ENSG00000008130"
"gene63","NADK","65220","NADK","ENSG00000008130"
"gene64","NADK","65220","NADK","ENSG00000008130"
"gene65","GNB1","2782","GNB1","ENSG00000078369"
"gene66","TMEM52","339456","TMEM52","ENSG00000178821"
"gene67","CFAP74","85452","CFAP74","ENSG00000142609"
"gene68","GABRD","2563","GABRD","ENSG00000187730"
"gene69","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene70","LOC105378591","","",""
"gene71","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene72","PRKCZ","5590","PRKCZ","ENSG00000067606"
"gene73","FAAP20","199990","FAAP20","ENSG00000162585"
"gene74","FAAP20","199990","FAAP20","ENSG00000162585"
"gene75","FAAP20","199990","FAAP20","ENSG00000162585"
"gene76","SKI","6497","SKI","ENSG00000157933"
"gene77","LOC100129534","100129534","LOC100129534","ENSG00000269896"
"gene78","RER1","11079","RER1","ENSG00000157916"
"gene79","MORN1","79906","MORN1","ENSG00000116151"
"gene80","PEX10","5192","PEX10","ENSG00000157911"
"gene81","PLCH2","9651","PLCH2","ENSG00000149527"
